@relation 0_gimp(master)

@attribute author_date_unix_timestamp numeric
@attribute fix_unix_timestamp numeric
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {0,1}

@data
1304282185,-1,0,1,1,1,0,1,1,315,1,195.109167,1,7533,160.118315,6051,0
1304284789,-1,0,1,1,1,0,14,19,169,2,108.509514,1,7534,160.813355,6052,0
1304284999,-1,0,3,13,40,4.199917,112,289,863.425,82,158.446994,33,7535,161.811563,2338.666667,1
1304302428,-1,0,1,1,1,0,3,0,2315,104,3.571609,1,205,36.538045,106,0
1304337238,-1,0,1,2,2,0.954434,1,7,932.5,10,26.274433,2,7536,160.524814,6054,0
1304353022,-1,0,1,1,2,0.286397,40,0,282.5,6,419.422014,2,1266,22.487013,970,0
1304376339,-1,0,2,2,3,0.219168,113,20,590.333333,16,18.258302,3,94,5.832333,43.5,1
1304417508,-1,0,1,1,2,1,2,2,299,6,690.787587,2,32,0.727266,0,0
1304417693,-1,0,1,1,1,0,1,1,331,3,0.002141,1,33,1.727266,1,0
1304452995,-1,0,1,1,1,0,20,5,455,15,0.887222,1,7537,156.715484,4954,0
1304486663,-1,0,1,2,7,1.508662,529,0,117.428571,18,21.504028,4,1261,22.320009,966,1
1304530726,-1,0,1,1,1,0,1182,796,1707,1,1555.344236,1,0,0,0,0
1304540053,-1,0,1,1,4,1.807196,22,51,1939.75,44,130.762674,4,1262,22.850002,967,0
1304541640,-1,0,1,1,1,0,29,35,765,6,13.113866,1,7538,155.363251,6055,0
1304543661,-1,0,1,2,3,1.251629,24,24,174.666667,1,0.659699,1,1263,23.844151,968,0
1304544355,1302034287,1,1,1,4,1.589792,131,50,228.25,27,125.245165,3,7539,156.19405,6056,1
1304546917,-1,0,1,1,2,0.918296,12,0,456.5,8,417.715428,2,1265,24.843576,969,0
1304548399,-1,0,1,1,1,0,53,1,665,25,56.331562,1,1267,26.843108,971,0
1304548613,-1,0,1,1,1,0,1,0,470,15,1.10669,1,1264,24.843108,543,0
1304549888,-1,1,2,2,2,0.33729,16,0,277,23,122.852303,2,1268,28.830092,305.5,0
1304569082,-1,0,2,2,3,1.148835,6,8,1722,109,17.57701,3,206,25.9835,124,0
1304590765,-1,0,1,1,1,0,7,3,452,22,0.537153,1,7540,154.291242,6057,0
1304592578,-1,0,1,3,6,2.324889,5,20,936.5,32,25.385895,2,7541,154.765119,769,0
