"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
132,51.51515152,51.51515152,51.51515152,51.51515152,51.51515152,51.51515152,51.51515152,51.51515152,51.51515152,51.51515152
133,51.87969925,51.87969925,51.87969925,51.87969925,51.87969925,51.87969925,51.87969925,51.87969925,51.87969925,51.87969925
134,52.23880597,52.23880597,52.23880597,52.23880597,52.23880597,52.23880597,52.23880597,52.23880597,52.23880597,52.23880597
135,52.59259259,52.59259259,52.59259259,52.59259259,52.59259259,52.59259259,52.59259259,52.59259259,52.59259259,52.59259259
136,52.20588235,52.20588235,52.20588235,52.20588235,52.20588235,52.20588235,52.20588235,52.20588235,52.20588235,52.20588235
137,52.55474453,52.55474453,52.55474453,52.55474453,52.55474453,52.55474453,52.55474453,52.55474453,52.55474453,52.55474453
138,52.89855072,52.89855072,52.89855072,52.89855072,52.89855072,52.89855072,52.89855072,52.89855072,52.89855072,52.89855072
139,52.51798561,52.51798561,52.51798561,52.51798561,52.51798561,52.51798561,52.51798561,52.51798561,52.51798561,52.51798561
140,52.85714286,52.85714286,52.85714286,52.85714286,52.85714286,52.85714286,52.85714286,52.85714286,52.85714286,52.85714286
141,52.4822695,52.4822695,52.4822695,52.4822695,52.4822695,52.4822695,52.4822695,52.4822695,52.4822695,52.4822695
142,52.11267606,52.11267606,52.11267606,52.11267606,52.11267606,52.11267606,52.11267606,52.11267606,52.11267606,52.11267606
143,52.44755245,52.44755245,52.44755245,52.44755245,52.44755245,52.44755245,52.44755245,52.44755245,52.44755245,52.44755245
144,52.77777778,52.77777778,52.77777778,52.77777778,52.77777778,52.77777778,52.77777778,52.77777778,52.77777778,52.77777778
145,53.10344828,53.10344828,53.10344828,53.10344828,53.10344828,53.10344828,53.10344828,53.10344828,53.10344828,53.10344828
146,53.42465753,53.42465753,53.42465753,53.42465753,53.42465753,53.42465753,53.42465753,53.42465753,53.42465753,53.42465753
